"player_id","player_name","nickname","team_id","team_abbreviation","age","gp","w","l","w_pct","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","tov","stl","blk","blka","pf","pfd","pts","plus_minus","nba_fantasy_pts","dd2","td3","wnba_fantasy_pts","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","fgm_rank","fga_rank","fg_pct_rank","fg3m_rank","fg3a_rank","fg3_pct_rank","ftm_rank","fta_rank","ft_pct_rank","oreb_rank","dreb_rank","reb_rank","ast_rank","tov_rank","stl_rank","blk_rank","blka_rank","pf_rank","pfd_rank","pts_rank","plus_minus_rank","nba_fantasy_pts_rank","dd2_rank","td3_rank","wnba_fantasy_pts_rank","team_count"
1643407,"AJ Dybantsa","AJ",1610612764,"WAS",19,1,1,0,1,26.4,7,18,0.389,0,5,0,7,8,0.875,0,7,7,2,1,2,1,2,1,13,27,7,46.4,0,0,42,1,1,16,1,9,3,3,12,17,6,17,1,1,7,24,1,5,11,14,4,4,2,18,1,1,8,1,4,1,1,1
1642284,"Alex Karaban","Alex",1610612758,"SAC",23,1,1,0,1,24,0,6,0,0,4,0,0,0,0,1,1,2,1,3,0,1,0,1,0,0,12,3.9,0,0,5,1,1,16,1,13,28,18,28,17,11,17,18,20,18,12,19,23,16,3,20,4,15,18,25,28,5,29,4,1,28,1
1642394,"Baba Miller","Baba",1610612746,"LAC",22,1,0,1,0,27.2,3,4,0.75,1,1,1,3,4,0.75,2,3,5,1,2,0,3,0,4,3,12,2,26.5,0,0,25,1,15,1,15,7,14,23,2,10,20,1,6,5,9,7,10,9,16,7,20,1,15,4,12,12,15,14,4,1,13,1
1643515,"Christian Anderson","Christian",1610612766,"CHA",20,1,1,0,1,22.9,2,9,0.222,0,4,0,0,0,0,0,0,0,2,2,0,0,1,0,1,4,2,5,0,0,6,1,1,16,1,14,16,11,25,17,11,17,18,20,18,24,26,28,11,7,20,15,4,27,20,22,15,27,4,1,27,1
1643411,"Darius Acuff Jr.","Darius",1610612758,"SAC",19,1,1,0,1,28,6,20,0.3,3,9,0.333,2,4,0.5,0,3,3,7,4,2,1,1,1,5,19,3,38.1,0,0,38,1,1,16,1,5,4,1,19,2,2,9,8,5,14,24,10,16,1,2,4,4,4,18,5,5,13,3,4,1,2,1
1643408,"Darryn Peterson","Darryn",1610612762,"UTA",19,1,0,1,0,29.7,6,18,0.333,2,7,0.286,6,8,0.75,2,1,3,3,8,0,1,0,9,13,24,-9,27.1,0,0,34,1,15,1,15,2,4,3,13,4,5,12,3,1,9,7,19,16,8,1,20,4,15,1,1,2,25,13,4,1,4,1
1643536,"Ebuka Okorie","Ebuka",1610612765,"DET",19,1,0,1,0,29.8,8,16,0.5,2,5,0.4,1,1,1,0,1,1,4,1,2,0,1,1,4,20,-18,32.2,0,0,31,1,15,1,15,1,1,5,8,4,6,4,12,14,1,24,19,26,6,14,4,15,4,18,7,4,28,6,4,1,8,1
1643567,"Emanuel Sharp","Emanuel",1610612758,"SAC",22,1,1,0,1,25.8,4,10,0.4,3,8,0.375,7,8,0.875,1,1,2,0,0,4,0,0,1,7,21,6,35.4,0,0,34,1,1,16,1,12,10,9,10,2,3,8,1,1,7,12,19,23,25,25,1,15,15,18,3,3,10,4,4,1,4,1
1643590,"Felix Okpara","Felix",1610612764,"WAS",22,1,1,0,1,19.5,2,6,0.333,0,0,0,0,0,0,3,3,6,2,2,1,0,1,3,1,4,18,15.2,0,0,14,1,1,16,1,20,16,18,13,17,25,17,18,20,18,4,10,6,11,7,9,15,4,7,20,22,2,19,4,1,18,1
1643419,"Hannes Steinbach","Hannes",1610612766,"CHA",20,1,1,0,1,18.4,4,7,0.571,0,0,0,4,4,1,3,5,8,1,3,1,2,1,0,4,15,9,32.1,1,0,30,1,1,16,1,22,10,14,5,17,25,17,4,5,1,4,3,2,16,3,9,2,4,27,7,9,7,7,1,1,9,1
