"player_id","player_name","nickname","team_id","team_abbreviation","age","gp","w","l","w_pct","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","tov","stl","blk","blka","pf","pfd","pts","plus_minus","nba_fantasy_pts","dd2","td3","wnba_fantasy_pts","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","fgm_rank","fga_rank","fg_pct_rank","fg3m_rank","fg3a_rank","fg3_pct_rank","ftm_rank","fta_rank","ft_pct_rank","oreb_rank","dreb_rank","reb_rank","ast_rank","tov_rank","stl_rank","blk_rank","blka_rank","pf_rank","pfd_rank","pts_rank","plus_minus_rank","nba_fantasy_pts_rank","dd2_rank","td3_rank","wnba_fantasy_pts_rank","team_count"
27900,"AK Okereke","AK",1610612747,"LAL",23,1,0,1,0,18.4,1,4,0.25,0,1,0,2,2,1,1,2,3,1,0,1,1,0,3,2,6,-9,17.1,0,0,14,1,23,1,23,23,30,28,36,22,26,22,5,8,1,9,21,18,25,31,12,4,15,6,12,23,33,24,1,1,25,1
1642876,"Adou Thiero","Adou",1610612747,"LAL",22,1,0,1,0,21,3,10,0.3,0,1,0,2,5,0.4,1,3,4,2,0,2,0,2,3,6,9,-17,22.8,0,0,19,1,23,1,23,17,17,8,32,22,26,22,5,1,19,9,8,9,17,31,7,16,3,6,2,18,39,15,1,1,17,1
1641817,"Anton Watson","Anton",1610612747,"LAL",25,1,0,1,0,20.4,2,3,0.667,0,1,0,3,3,1,1,2,3,1,0,0,1,0,4,3,9,-27,17.1,0,0,15,1,23,1,23,18,22,32,9,22,26,22,2,5,1,9,21,18,25,31,21,4,15,1,6,18,43,24,1,1,24,1
1643728,"Arnas Sakenis","Arnas",1610612748,"MIA",23,1,1,0,1,9.8,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,2,-11,7.4,0,0,6,1,1,22,1,39,30,39,1,22,35,22,20,29,20,27,21,29,32,31,21,4,15,38,21,33,36,34,1,1,35,1
1641751,"Arthur Kaluma","Arthur",1610612747,"LAL",24,1,0,1,0,17.9,5,12,0.417,1,6,0.167,1,2,0.5,3,3,6,1,2,0,2,1,2,1,12,-17,24.7,0,0,24,1,23,1,23,30,7,6,24,14,5,21,11,8,18,1,8,4,25,9,21,2,5,10,21,10,39,13,1,1,13,1
1643418,"Cameron Carr","Cameron",1610612747,"LAL",21,1,0,1,0,23.7,7,15,0.467,5,11,0.455,0,1,0,1,1,2,1,0,0,1,0,1,0,19,-18,25.9,0,0,29,1,23,1,23,10,2,2,22,1,1,13,20,16,20,9,30,29,25,31,21,4,15,25,33,3,42,10,1,1,8,1
1642943,"Chance McMillian","Chance",1710612744,"GWG",25,1,1,0,1,18.1,4,6,0.667,2,3,0.667,1,1,1,0,4,4,3,0,0,0,1,1,2,12,17,21.3,0,0,21,1,1,22,1,26,10,18,9,8,13,4,11,16,1,27,5,9,9,31,21,16,5,25,12,10,6,17,1,1,14,1
1642936,"Chase Hunter","Chase",1710612744,"GWG",25,1,1,0,1,9.9,2,2,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,2,1,7,-5,7,0,0,8,1,1,22,1,38,22,37,1,14,26,1,5,8,1,27,39,41,32,31,21,16,15,10,21,22,25,35,1,1,33,1
1643024,"Chris Mañon","Chris",1610612747,"LAL",24,1,0,1,0,17.9,4,4,1,0,0,0,0,2,0,1,2,3,1,1,0,0,0,4,3,8,-17,12.1,0,0,12,1,23,1,23,29,10,28,1,22,35,22,20,8,20,9,21,18,25,17,21,16,15,1,6,21,39,29,1,1,27,1
1641987,"David Muoka","David",1610612759,"SAS",25,1,0,1,0,3.1,1,2,0.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,2.2,0,0,3,1,23,1,23,42,30,37,17,22,35,22,20,29,20,9,39,35,32,17,21,16,15,38,33,33,18,39,1,1,39,1
1643090,"Deivon Smith","Deivon",1710612744,"GWG",24,1,1,0,1,21.4,2,7,0.286,0,2,0,1,1,1,0,4,4,2,4,1,0,1,2,2,5,20,11.8,0,0,13,1,1,22,1,15,22,14,34,22,20,22,11,16,1,27,5,9,17,1,12,16,5,10,12,26,3,30,1,1,26,1
1641801,"Emanuel Miller","Emanuel",1610612759,"SAS",26,1,0,1,0,27.3,2,7,0.286,0,0,0,0,0,0,2,3,5,3,2,2,0,1,4,1,4,-9,18.5,0,0,16,1,23,1,23,5,22,14,34,22,35,22,20,29,20,3,8,6,9,9,7,16,5,1,21,29,33,23,1,1,23,1
1643633,"Graham Ike","Graham",1710612744,"GWG",23,1,1,0,1,19.2,5,7,0.714,0,1,0,1,1,1,1,3,4,3,0,0,1,0,4,4,11,10,23.3,0,0,20,1,1,22,1,19,7,14,8,22,26,22,11,16,1,9,8,9,9,31,21,4,15,1,4,13,11,14,1,1,16,1
1631253,"Hyunjung Lee","Hyunjung",1610612759,"SAS",25,1,0,1,0,14.8,2,5,0.4,1,3,0.333,0,0,0,0,3,3,2,2,0,0,0,1,0,5,2,9.6,0,0,11,1,23,1,23,34,22,25,25,14,13,18,20,29,20,27,8,18,17,9,21,16,15,25,33,26,17,32,1,1,29,1
1643727,"J'Vonne Hadley","J'Vonne",1610612748,"MIA",24,1,1,0,1,23.6,1,4,0.25,0,1,0,1,1,1,1,5,6,2,1,3,0,1,1,1,4,-4,22.2,0,0,18,1,1,22,1,11,30,28,36,22,26,22,11,16,1,9,2,4,17,17,2,16,5,25,21,29,23,16,1,1,20,1
1643551,"Ja'Kobi Gillespie","Ja'Kobi",1610612759,"SAS",22,1,0,1,0,28.8,3,17,0.176,2,8,0.25,1,1,1,2,2,4,8,1,3,0,1,2,2,10,-8,34.8,0,0,30,1,23,1,23,3,17,1,38,8,2,20,11,16,1,3,21,9,1,17,2,16,5,10,12,15,31,4,1,1,6,1
1643147,"Jack Clark","Jack",1710612744,"GWG",26,1,1,0,1,8,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,6,3.2,0,0,3,1,1,22,1,40,30,39,1,22,35,22,20,29,20,27,30,35,32,31,21,16,15,38,33,33,14,37,1,1,39,1
1642443,"Jahmir Young","Jahmir",1610612748,"MIA",25,1,1,0,1,27.8,8,13,0.615,3,7,0.429,1,1,1,1,2,3,4,4,3,0,0,0,2,21,-3,35.6,0,0,37,1,1,22,1,4,1,3,13,4,3,14,11,16,1,9,21,18,5,1,2,16,15,38,12,1,21,2,1,1,2,1
1643070,"Jayden Nunn","Jayden",1610612759,"SAS",23,1,0,1,0,18,3,5,0.6,1,3,0.333,1,1,1,1,1,2,4,2,4,1,0,3,3,9,10,30.4,0,0,26,1,23,1,23,28,17,25,14,14,13,18,11,16,1,9,30,29,5,9,1,4,15,6,6,18,11,7,1,1,9,1
1631399,"Jon Elmore","Jon",1610612747,"LAL",30,1,0,1,0,18.3,0,3,0,0,3,0,0,0,0,0,0,0,7,2,2,0,0,0,1,0,-15,14.5,0,0,11,1,23,1,23,25,40,32,40,22,13,22,20,29,20,27,39,41,2,9,7,16,15,38,21,40,37,26,1,1,29,1
27926,"KJ Adams","KJ",1710612744,"GWG",24,1,1,0,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-5,2,0,0,2,1,1,22,1,43,40,42,40,22,35,22,20,29,20,27,39,41,32,17,21,4,15,25,33,40,25,41,1,1,42,1
1631112,"Kendall Brown","Kendall",1610612748,"MIA",23,1,1,0,1,11.2,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,1,0,0,-1,1.2,0,0,3,1,1,22,1,36,40,42,40,22,35,22,20,29,20,27,30,35,32,5,12,16,15,25,33,40,20,43,1,1,39,1
1643545,"Keyshawn Hall","Keyshawn",1610612748,"MIA",23,1,1,0,1,16.4,2,6,0.333,0,1,0,0,2,0,0,1,1,0,3,0,0,3,2,2,4,4,2.2,0,0,5,1,1,22,1,32,22,18,27,22,26,22,20,8,20,27,30,35,32,5,21,16,1,10,12,29,16,39,1,1,37,1
